url,name,review_count,address,category,phone,website
https://www.google.com/maps/place/Asbestos/data=!4m7!3m6!1s0x48760f000d907b9b:0x8e46c8806a11e48a!8m2!3d51.4984976!4d-0.1932247!16s%2Fg%2F11y4h9_6qc!19sChIJm3uQDQAPdkgRiuQRaoDIRo4?authuser=0&hl=en&rclk=1,Asbestos,," 47-60 Cheniston Gardens, London W8 6TJ, United Kingdom ",General contractor,,
https://www.google.com/maps/place/Solo/data=!4m7!3m6!1s0x47d8a8db12403ff9:0x3e16e3c4558b3289!8m2!3d51.4814899!4d0.07797!16s%2Fg%2F11vy2b1kbk!19sChIJ-T9AEtuo2EcRiTKLVcTjFj4?authuser=0&hl=en&rclk=1,Solo,," 6 Wernbrook St, London SE18 7RX, United Kingdom ",Asbestos testing service,+442083167851,soloasbestosconsultants.co.uk 
https://www.google.com/maps/place/Astrax+Asbestos+Removal+Battersea+Ltd/data=!4m7!3m6!1s0x48761afe508566cb:0x8aabbfa1027c6ae2!8m2!3d51.4716904!4d-0.1677928!16s%2Fg%2F1hc1sp359!19sChIJy2aFUP4adkgR4mp8AqG_q4o?authuser=0&hl=en&rclk=1,Astrax Asbestos Removal Battersea Ltd,," 290 Battersea Park Rd, London SW11 3BT, United Kingdom ",Asbestos testing service,+442038718835,
https://www.google.com/maps/place/London+Asbestos/data=!4m7!3m6!1s0x48766fca4f5bdde7:0x7da9903532722fba!8m2!3d51.5464362!4d-0.4782295!16s%2Fg%2F11lccxys0x!19sChIJ591bT8pvdkgRui9yMjWQqX0?authuser=0&hl=en&rclk=1,London Asbestos,," 172 High St, Uxbridge UB8 1JZ, United Kingdom ",Asbestos testing service,+441789430190,
https://www.google.com/maps/place/The+Asbestos+Experts/data=!4m7!3m6!1s0x487604ccab244e99:0x94716155ac8c6377!8m2!3d51.5148901!4d-0.1235372!16s%2Fg%2F11gbx8_p13!19sChIJmU4kq8wEdkgRd2OMrFVhcZQ?authuser=0&hl=en&rclk=1,The Asbestos Experts,," 71-75 Shelton St, London WC2H 9JQ, United Kingdom ",Corporate office,+442081238462,
https://www.google.com/maps/place/Enviro+Asbestos/data=!4m7!3m6!1s0x48761b326625f7fd:0xe1c2e7b22b4fb0d!8m2!3d51.5182442!4d-0.1278741!16s%2Fg%2F11cs64hfr3!19sChIJ_fclZjIbdkgRDfu0InsuHA4?authuser=0&hl=en&rclk=1,Enviro Asbestos,," 32 Bloomsbury St, London WC1B 3QJ, United Kingdom ",Business management consultant,+442081338771,
https://www.google.com/maps/place/Azuri+Asbestos+Removal+Acton+Ltd/data=!4m7!3m6!1s0x48766fac1856b86b:0xa19115c7cc384ec7!8m2!3d51.5084165!4d-0.2714651!16s%2Fg%2F11jvdp2sr1!19sChIJa7hWGKxvdkgRx044zMcVkaE?authuser=0&hl=en&rclk=1,Azuri Asbestos Removal Acton Ltd,," 13 Horn Ln, London W3 9NJ, United Kingdom ",Asbestos testing service,+442038660545,asbestosremovalacton.co.uk 
