url,name,review_count,address,category,phone,website
https://www.google.com/maps/place/London+Asbestos/data=!4m7!3m6!1s0x48766fca4f5bdde7:0x7da9903532722fba!8m2!3d51.5464362!4d-0.4782295!16s%2Fg%2F11lccxys0x!19sChIJ591bT8pvdkgRui9yMjWQqX0?authuser=0&hl=en&rclk=1,London Asbestos,," 172 High St, Uxbridge UB8 1JZ, United Kingdom ",Asbestos testing service,+441789430190,
https://www.google.com/maps/place/24-7+Asbestos+Surveys+London/data=!4m7!3m6!1s0x48760537744ff655:0xafb51ec26ed5a6e9!8m2!3d51.5073509!4d-0.1277583!16s%2Fg%2F11ft6xkdpv!19sChIJVfZPdDcFdkgR6abVbsIeta8?authuser=0&hl=en&rclk=1,24-7 Asbestos Surveys London,," London WC2N 5DU, United Kingdom ",Asbestos testing service,+443333442114,asbestossurveysuk.co.uk 
https://www.google.com/maps/place/Site+Analytical+Services+Ltd./data=!4m7!3m6!1s0x47d8a5fd221ea461:0x939c5fcc9834163e!8m2!3d51.524116!4d0.096504!16s%2Fg%2F1tf5c_ry!19sChIJYaQeIv2l2EcRPhY0mMxfnJM?authuser=0&hl=en&rclk=1,Site Analytical Services Ltd.,," River Road Business Park, River Rd., Barking IG11 0EA, United Kingdom ",Environmental consultant,+442085948134,siteanalyticalgroup.co.uk 
https://www.google.com/maps/place/DRS+Asbestos+Removal+Sutton+Ltd/data=!4m7!3m6!1s0x4888795dd11efab5:0xcb207101eb068da9!8m2!3d51.3543765!4d-0.2034888!16s%2Fg%2F11lt2v298y!19sChIJtfoe0V15iEgRqY0G6wFxIMs?authuser=0&hl=en&rclk=1,DRS Asbestos Removal Sutton Ltd,," 2 Frampton Cl, Sutton SM2 6SU, United Kingdom ",Asbestos testing service,+442035976805,asbestosremovalsutton.co.uk 
