url,name,review_count,address,category,phone,website
https://www.google.com/maps/place/European+Asbestos+Services/data=!4m7!3m6!1s0x47d8c47ccb12e9eb:0x4c9873c5aa669761!8m2!3d51.5878145!4d0.5160815!16s%2Fg%2F11bzsw5j0x!19sChIJ6-kSy3zE2EcRYZdmqsVzmEw?authuser=0&hl=en&rclk=1,European Asbestos Services,," 1 Josselin Ct, Burnt Mills Industrial Estate, Basildon SS13 1QF, United Kingdom ",Asbestos testing service,+441268921981,european-asbestos.co.uk 
https://www.google.com/maps/place/Astrax+Asbestos+Removal+Battersea+Ltd/data=!4m7!3m6!1s0x48761afe508566cb:0x8aabbfa1027c6ae2!8m2!3d51.4716904!4d-0.1677928!16s%2Fg%2F1hc1sp359!19sChIJy2aFUP4adkgR4mp8AqG_q4o?authuser=0&hl=en&rclk=1,,," 290 Battersea Park Rd, London SW11 3BT, United Kingdom ",,+442038718835,
https://www.google.com/maps/place/Asbestos/data=!4m7!3m6!1s0x48760f000d907b9b:0x8e46c8806a11e48a!8m2!3d51.4984976!4d-0.1932247!16s%2Fg%2F11y4h9_6qc!19sChIJm3uQDQAPdkgRiuQRaoDIRo4?authuser=0&hl=en&rclk=1,,," 47-60 Cheniston Gardens, London W8 6TJ, United Kingdom ",,,
https://www.google.com/maps/place/Azuri+Asbestos+Removal+Acton+Ltd/data=!4m7!3m6!1s0x48766fac1856b86b:0xa19115c7cc384ec7!8m2!3d51.5084165!4d-0.2714651!16s%2Fg%2F11jvdp2sr1!19sChIJa7hWGKxvdkgRx044zMcVkaE?authuser=0&hl=en&rclk=1,,," 13 Horn Ln, London W3 9NJ, United Kingdom ",,+442038660545,asbestosremovalacton.co.uk 
https://www.google.com/maps/place/Site+Analytical+Services+Ltd./data=!4m7!3m6!1s0x47d8a5fd221ea461:0x939c5fcc9834163e!8m2!3d51.524116!4d0.096504!16s%2Fg%2F1tf5c_ry!19sChIJYaQeIv2l2EcRPhY0mMxfnJM?authuser=0&hl=en&rclk=1,,," River Road Business Park, River Rd., Barking IG11 0EA, United Kingdom ",,+442085948134,siteanalyticalgroup.co.uk 
https://www.google.com/maps/place/Rilmac+Insulation+%26+Asbestos+Services+-+London+%26+Southern/data=!4m7!3m6!1s0x48761fffa0b48ad7:0xf83df9e58f4348fe!8m2!3d51.5977673!4d0.2222128!16s%2Fg%2F11b76d3x80!19sChIJ14q0oP8fdkgR_khDj-X5Pfg?authuser=0&hl=en&rclk=1,,," Unit 4, Ashton Gate, Ashton Rd, Harold Hill, Romford RM3 8UD, United Kingdom ",,+448006129002,rilmac.co.uk 
https://www.google.com/maps/place/Asbestos+Claim+Centre/data=!4m7!3m6!1s0x48761b49b711e893:0xca74ce6bbaa57bc1!8m2!3d51.5222857!4d-0.1157713!16s%2Fg%2F11hdjj3f53!19sChIJk-gRt0kbdkgRwXulumvOdMo?authuser=0&hl=en&rclk=1,,," 25 John St, London WC1N 2BS, United Kingdom ",,+448082318773,
https://www.google.com/maps/place/London+Asbestos/data=!4m7!3m6!1s0x48766fca4f5bdde7:0x7da9903532722fba!8m2!3d51.5464362!4d-0.4782295!16s%2Fg%2F11lccxys0x!19sChIJ591bT8pvdkgRui9yMjWQqX0?authuser=0&hl=en&rclk=1,,," 172 High St, Uxbridge UB8 1JZ, United Kingdom ",,+441789430190,
https://www.google.com/maps/place/Ace+Environmental+SOLUTIONS+Ltd/data=!4m7!3m6!1s0x48761b2d7a238b55:0x755753aa1dc5b7e3!8m2!3d51.5172101!4d-0.1298358!16s%2Fg%2F11c2pmn8j3!19sChIJVYsjei0bdkgR47fFHapTV3U?authuser=0&hl=en&rclk=1,,," 345, 10 Great Russell St, London WC1B 3BQ, United Kingdom ",,+441920465056,aceenvironmental.co.uk 
https://www.google.com/maps/place/Axal+Asbestos+Removal+Edmonton+Ltd/data=!4m7!3m6!1s0x48610830c6b5a6f9:0x73772958b0cd355d!8m2!3d51.6228417!4d-0.061524!16s%2Fg%2F11q266jb_n!19sChIJ-aa1xjAIYUgRXTXNsFgpd3M?authuser=0&hl=en&rclk=1,,," 391A Fore St, London N9 0NR, United Kingdom ",,+442045380542,asbestosremovaledmonton.co.uk 
https://www.google.com/maps/place/A+T+Jones/data=!4m7!3m6!1s0x487603576338eab1:0x21252cc538ccfd1a!8m2!3d51.5040702!4d-0.0913483!16s%2Fg%2F11c5h3z913!19sChIJseo4Y1cDdkgRGv3MOMUsJSE?authuser=0&hl=en&rclk=1,,," 60 Borough High St, London SE1 9RR, United Kingdom ",,+441329287891,atjones.net 
https://www.google.com/maps/place/Solo/data=!4m7!3m6!1s0x47d8a8db12403ff9:0x3e16e3c4558b3289!8m2!3d51.4814899!4d0.07797!16s%2Fg%2F11vy2b1kbk!19sChIJ-T9AEtuo2EcRiTKLVcTjFj4?authuser=0&hl=en&rclk=1,,," 6 Wernbrook St, London SE18 7RX, United Kingdom ",,+442083167851,soloasbestosconsultants.co.uk 
