url,name,review_count,address,category,phone,website
https://www.google.com/maps/place/London+Asbestos/data=!4m7!3m6!1s0x48766fca4f5bdde7:0x7da9903532722fba!8m2!3d51.5464362!4d-0.4782295!16s%2Fg%2F11lccxys0x!19sChIJ591bT8pvdkgRui9yMjWQqX0?authuser=0&hl=en&rclk=1,London Asbestos,," 172 High St, Uxbridge UB8 1JZ, United Kingdom ",Asbestos testing service,+441789430190,
https://www.google.com/maps/place/Asbestos+Removal+Putney+Ltd/data=!4m7!3m6!1s0x48886c03bbbfc959:0x4a945dcc3f800eb3!8m2!3d51.4616051!4d-0.2200209!16s%2Fg%2F1wn337kq!19sChIJWcm_uwNsiEgRsw6AP8xdlEo?authuser=0&hl=en&rclk=1,Asbestos Removal Putney Ltd,," 260B Upper Richmond Rd, London SW15 6TQ, United Kingdom ",Asbestos testing service,+442039474012,protekasbestosremoval.com 
https://www.google.com/maps/place/Asbestos/data=!4m7!3m6!1s0x48760f000d907b9b:0x8e46c8806a11e48a!8m2!3d51.4984976!4d-0.1932247!16s%2Fg%2F11y4h9_6qc!19sChIJm3uQDQAPdkgRiuQRaoDIRo4?authuser=0&hl=en&rclk=1,Asbestos,," 47-60 Cheniston Gardens, London W8 6TJ, United Kingdom ",General contractor,,
